archivo,clase_actual,categoria,motivo_auditoria,sugerencia_estadistica,confianza_estadistica,prioridad,decision_humana,observaciones
ls_0001.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0003.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0016.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0023.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0024.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0049.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0050.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0058.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0062.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0063.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0064.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0065.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0066.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0068.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0069.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0073.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0075.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0082.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0083.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0084.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0087.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0088.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0090.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0091.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0093.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0124.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0127.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0130.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0133.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0144.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0148.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0156.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0162.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0163.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0188.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0196.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0215.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0226.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0227.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0236.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0241.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0266.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0278.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0326.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0350.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0355.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0364.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0386.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
ls_0433.jpeg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,
lc_0030.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0052.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0078.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0080.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0082.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0113.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0121.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0125.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0131.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0132.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0136.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0152.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0155.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0158.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0159.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0187.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0193.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0205.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0215.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0223.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0242.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0248.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0252.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0253.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0256.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0265.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0287.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0304.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0305.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0323.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0344.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0346.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0378.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0383.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0393.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0413.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0429.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0430.jpg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0494.jpeg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lc_0497.jpeg,contaminado,lc,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lcp_0372.jpg,contaminado,lcp,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lcp_aug_0014.jpg,contaminado,lcp_aug,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lcp_aug_0083.jpg,contaminado,lcp_aug,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lcp_aug_0095.jpg,contaminado,lcp_aug,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
lcp_aug_0154.jpg,contaminado,lcp_aug,verde centro >=15% (parece liquen sano),sospechosamente saludable,0.8,ALTO,,
